"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
96, 1.000000000000000e+00, 5.352202629500000e-08, 1.003815155499355e+00, 2.420793731343246e-01, 2.235832842115799e-07
97, 9.979658291430820e-01, -2.881794857271442e-04, 1.003580791990710e+00, 2.271991860196270e-01, 1.623699354177118e-03
98, 9.957820729228830e-01, -5.967886532841323e-04, 1.003448564473321e+00, 2.188038082074643e-01, 1.383633888519607e-03
99, 9.934384637941019e-01, -9.270488597400344e-04, 1.003302619953791e+00, 2.095375117114116e-01, 1.200429932446315e-03
100, 9.909241437988340e-01, -1.280289614488857e-03, 1.003152453008574e+00, 2.000031253379218e-01, 1.133197002677411e-03
101, 9.882276487590520e-01, -1.657893415929766e-03, 1.003006358924358e+00, 1.907273326940299e-01, 1.141692813517418e-03
102, 9.853368952903420e-01, -2.061293361678059e-03, 1.002866968981488e+00, 1.818771987981777e-01, 1.187018025267545e-03
103, 9.822391712272380e-01, -2.491969834944034e-03, 1.002733350667120e+00, 1.733935166275372e-01, 1.244968862532055e-03
104, 9.789211302792580e-01, -2.951446198418808e-03, 1.002603830417570e+00, 1.651700284250115e-01, 1.304748252507947e-03
105, 9.753687917200690e-01, -3.441283350046040e-03, 1.002477012602563e+00, 1.571181229569788e-01, 1.363249332034901e-03
106, 9.715675460812661e-01, -3.963073044857662e-03, 1.002352052374828e+00, 1.491841592553035e-01, 1.420161977545230e-03
107, 9.675021678017420e-01, -4.518429822299970e-03, 1.002228166808133e+00, 1.413184278370512e-01, 1.475655653595386e-03
108, 9.631568360186920e-01, -5.108981458577545e-03, 1.002104701682188e+00, 1.334793910057243e-01, 1.530045980214933e-03
109, 9.585151646336830e-01, -5.736357801147233e-03, 1.001979467306023e+00, 1.255280210962373e-01, 1.583203105536541e-03
110, 9.535602429161220e-01, -6.402177880090121e-03, 1.001852188840864e+00, 1.174468680695465e-01, 1.635303923477546e-03
111, 9.482746880048850e-01, -7.108035234927211e-03, 1.001723316682090e+00, 1.092645283890993e-01, 1.686477295643446e-03
112, 9.426407105822270e-01, -7.855481327107042e-03, 1.001591878186303e+00, 1.009192470665479e-01, 1.736601724352296e-03
113, 9.366401951685740e-01, -8.646007049145999e-03, 1.001457943180540e+00, 9.241545755393792e-02, 1.786041237440872e-03
114, 9.302547962764830e-01, -9.481022247350132e-03, 1.001321458555364e+00, 8.374978783158490e-02, 1.834791902477383e-03
115, 9.234660517702999e-01, -1.036183331256595e-02, 1.001182498036531e+00, 7.492691888857907e-02, 1.882690021014399e-03
116, 9.162555145009680e-01, -1.128961886009035e-02, 1.001041272640227e+00, 6.596024854604152e-02, 1.929959203518612e-03
117, 9.086049032279730e-01, -1.226540359178139e-02, 1.000897968136850e+00, 5.686157172146967e-02, 1.976721475579831e-03
118, 9.004962734807360e-01, -1.329003047580013e-02, 1.000752824664003e+00, 4.764613521041470e-02, 2.022545043576284e-03
119, 8.919122087664410e-01, -1.436413140679768e-02, 1.000606163022451e+00, 3.833430726647220e-02, 2.067861155442812e-03
120, 8.828360320456839e-01, -1.548809659764239e-02, 1.000458411901537e+00, 2.895330619546977e-02, 2.112406069783729e-03
121, 8.732520369379220e-01, -1.666204293780597e-02, 1.000309684724824e+00, 1.951033347622768e-02, 2.156198862950326e-03
122, 8.631457374960591e-01, -1.788578165295289e-02, 1.000159817260651e+00, 9.994961726646453e-03, 2.199345355741730e-03
123, 8.525041346896460e-01, -1.915878563887750e-02, 1.000009102152776e+00, 4.257714582595158e-04, 2.242043153464647e-03
124, 8.413159970120960e-01, -2.048015683562499e-02, 9.998576814217121e-01, -9.188220175082553e-03, 2.284207509494284e-03
125, 8.295721517532200e-01, -2.184859409030840e-02, 9.997056698325407e-01, -1.883972651898886e-02, 2.326269885811973e-03
126, 8.172657826166300e-01, -2.326236201353585e-02, 9.995531387144995e-01, -2.852421874384840e-02, 2.368067616653190e-03
127, 8.043927284804649e-01, -2.471926132528821e-02, 9.994001251853363e-01, -3.823934017289651e-02, 2.409805852460171e-03
128, 7.909517772165610e-01, -2.621660130830753e-02, 9.992466102708900e-01, -4.798629551188968e-02, 2.451667906332532e-03
129, 7.769449477048480e-01, -2.775117492280826e-02, 9.990925459168641e-01, -5.776813581996395e-02, 2.493691041372172e-03
130, 7.623777524675190e-01, -2.931923744885270e-02, 9.989376797262994e-01, -6.760088626247934e-02, 2.536059373967435e-03
131, 7.472594328699030e-01, -3.091648930628510e-02, 9.987830421701769e-01, -7.741912026726169e-02, 2.578777000485475e-03
132, 7.316031585245610e-01, -3.253806414443636e-02, 9.986276457974329e-01, -8.728553298970290e-02, 2.621795310806814e-03
133, 7.154261825498690e-01, -3.417852304597178e-02, 9.984710515002516e-01, -9.722800422432250e-02, 2.665305356147416e-03
134, 6.987499446352849e-01, -3.583185629664898e-02, 9.983130043448363e-01, -1.072627202051433e-01, 2.709541181791510e-03
135, 6.816001145580280e-01, -3.749149362242028e-02, 9.981533174278989e-01, -1.174015477791555e-01, 2.754717641836593e-03
136, 6.640065698311099e-01, -3.915032464739417e-02, 9.979917968516961e-01, -1.276567978846950e-01, 2.800986856657607e-03
137, 6.460033025913720e-01, -4.080073056778152e-02, 9.978275389074862e-01, -1.380858487170784e-01, 2.848583990364351e-03
138, 6.276282525902900e-01, -4.243462858861940e-02, 9.976613094531326e-01, -1.486400744967317e-01, 2.897661152560894e-03
139, 6.089230652104620e-01, -4.404353001843556e-02, 9.974950781945038e-01, -1.591944148332644e-01, 2.948047468640353e-03
140, 5.899327756923080e-01, -4.561861289428874e-02, 9.973263056088302e-01, -1.699101088812382e-01, 2.999590069047387e-03
141, 5.707054231490321e-01, -4.715080946865579e-02, 9.971549539582453e-01, -1.807895526899274e-01, 3.052570668506661e-03
142, 5.512916003363530e-01, -4.863090808605761e-02, 9.969799919150605e-01, -1.918982272255087e-01, 3.107384190207649e-03
143, 5.317439474301470e-01, -5.004966851411126e-02, 9.968055863381392e-01, -2.029715706544176e-01, 3.164010338090493e-03
144, 5.121166001065770e-01, -5.139794887290158e-02, 9.966297643611015e-01, -2.141348440339547e-01, 3.222037519682239e-03
145, 4.924646039207970e-01, -5.266684144175821e-02, 9.964515181875953e-01, -2.254520342807700e-01, 3.281680270918099e-03
146, 4.728433082391680e-01, -5.384781416072871e-02, 9.962724555748088e-01, -2.368210618179857e-01, 3.343169019483390e-03
147, 4.533077537294870e-01, -5.493285287912920e-02, 9.960944834833392e-01, -2.481208500724290e-01, 3.406271105945459e-03
148, 4.339120676130220e-01, -5.591460064650605e-02, 9.959161982231108e-01, -2.594405220099377e-01, 3.470837835545752e-03
149, 4.147088805266780e-01, -5.678648875377961e-02, 9.957385440171753e-01, -2.707201271042292e-01, 3.537012318170976e-03
150, 3.957487779587870e-01, -5.754285488135374e-02, 9.955637020454616e-01, -2.818211780726118e-01, 3.604563836114581e-03
151, 3.770797978812900e-01, -5.817904262446177e-02, 9.953905878011968e-01, -2.928125323229719e-01, 3.673321360064935e-03
152, 3.587469844042950e-01, -5.869148183384367e-02, 9.952215269375542e-01, -3.035465296902011e-01, 3.743265300433728e-03
153, 3.407920053178110e-01, -5.907774237985596e-02, 9.950568151173300e-01, -3.140043979782432e-01, 3.814400629350666e-03
154, 3.232528390902350e-01, -5.933656107664884e-02, 9.948963486394328e-01, -3.241927213676133e-01, 3.886997905595692e-03
155, 3.061635345664540e-01, -5.946784792894075e-02, 9.947381483278781e-01, -3.342371615244550e-01, 3.961275304962548e-03
156, 2.895540445181870e-01, -5.947265120547269e-02, 9.945754861187381e-01, -3.445648960872371e-01, 4.038708322795752e-03
157, 2.734501317315010e-01, -5.935311774455410e-02, 9.944278250690453e-01, -3.539401783642511e-01, 4.116956829704774e-03
