"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
143, 2.011247989385280e-01, 5.703150512396883e-02, 9.938376853267329e-01, -3.914092785675222e-01, 4.514114861098582e-03
144, 2.283665749934740e-01, 5.828472232071416e-02, 9.940425918963826e-01, -3.783993688122019e-01, 4.358496476123990e-03
145, 2.578733448566950e-01, 5.911241796058234e-02, 9.942813676852623e-01, -3.632390375920155e-01, 4.206258478552096e-03
146, 2.895540445275380e-01, 5.947265120550563e-02, 9.945641374217001e-01, -3.452854465535171e-01, 4.049775227388391e-03
147, 3.232528391003260e-01, 5.933656107653527e-02, 9.948898273819552e-01, -3.246067684692730e-01, 3.886466839493321e-03
148, 3.587469844150750e-01, 5.869148183357661e-02, 9.952145796643610e-01, -3.039876253439091e-01, 3.743270381563493e-03
149, 3.957487779701630e-01, 5.754285488093251e-02, 9.955575939332449e-01, -2.822089937919921e-01, 3.607866441032213e-03
150, 4.339120676248920e-01, 5.591460064593561e-02, 9.959102968385652e-01, -2.598152121943513e-01, 3.475368214111014e-03
151, 4.728433082514070e-01, 5.384781416001998e-02, 9.962687596281776e-01, -2.370557245338490e-01, 3.347010431880624e-03
152, 5.121166001190330e-01, 5.139794887207108e-02, 9.966235812355149e-01, -2.145274224955706e-01, 3.224334529573237e-03
153, 5.512916003488870e-01, 4.863090808512447e-02, 9.969738347844458e-01, -1.922891552166699e-01, 3.105893670535510e-03
154, 5.899327757047460e-01, 4.561861289327686e-02, 9.973203897209918e-01, -1.702857199074319e-01, 2.993024207262263e-03
155, 6.276282526025000e-01, 4.243462858755100e-02, 9.976561448163908e-01, -1.489679871549011e-01, 2.886621092140411e-03
156, 6.640065698429310e-01, 3.915032464629472e-02, 9.979823498064736e-01, -1.282566088424884e-01, 2.786152895675091e-03
157, 6.987499446466160e-01, 3.583185629553873e-02, 9.983005710680505e-01, -1.080521327126226e-01, 2.690503431700750e-03
158, 7.316031585352730e-01, 3.253806414333830e-02, 9.986149261541112e-01, -8.809312745589505e-02, 2.598763606475059e-03
159, 7.623777524775640e-01, 2.931923744778128e-02, 9.989285748045087e-01, -6.817897514966954e-02, 2.510658992032334e-03
160, 7.909517772258660e-01, 2.621660130727932e-02, 9.992394073906280e-01, -4.844362014695333e-02, 2.425290866180413e-03
161, 8.172657826251279e-01, 2.326236201256679e-02, 9.995508103120548e-01, -2.867205346545095e-02, 2.341125159963505e-03
162, 8.413159970197970e-01, 2.048015683472137e-02, 9.998638824651995e-01, -8.794504071695549e-03, 2.258104429365635e-03
163, 8.631457375029460e-01, 1.788578165212381e-02, 1.000178686491121e+00, 1.119300523486412e-02, 2.175492367264238e-03
164, 8.828360320518041e-01, 1.548809659688852e-02, 1.000493446156943e+00, 3.117769803392699e-02, 2.094132716153032e-03
165, 9.004962734861121e-01, 1.329003047512407e-02, 1.000804594461627e+00, 5.093309861175303e-02, 2.012924812758135e-03
