"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"
0	5.010000078023450e+02	5.352202629500000e-08	9.999975774242289e-01	1.774675095848567e-01	8.415809002147563e-11	2.515753780196759e+00	7.478736879446269e-06	1.000002553427348e+00	1.000000662470349e+00	9.980363930661031e-06	1.499874109891350e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	7.477339230564775e-06	
1	3.278693397908290e+02	5.352202629500000e-08	9.999969506063904e-01	1.772431941251112e-01	1.228859442282168e-10	2.515714171136717e+00	1.106830698758405e-05	1.000002619322462e+00	1.000001355185544e+00	1.416417066920749e-05	1.497978718489831e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.106669755137858e-05	
2	2.146849004455700e+02	5.352202629500000e-08	9.999957323876026e-01	1.770406121867492e-01	1.838254835600575e-10	2.515678254324992e+00	1.407638202364065e-05	1.000002599304913e+00	1.000002553393633e+00	1.289321816931725e-05	1.496267514619690e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.407454307096490e-05	
3	1.406903998926780e+02	5.352202629500000e-08	9.999928840250807e-01	1.767427516833893e-01	2.896277766087914e-10	2.515625472208394e+00	1.719635463749636e-05	1.000002544370753e+00	1.000005346849383e+00	9.405343345520428e-06	1.493752300215967e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.719426690945449e-05	
4	9.231638184086459e+01	5.352202629500000e-08	9.999866586862178e-01	1.762581434041978e-01	4.548906695268621e-10	2.515540016129731e+00	2.062471905503527e-05	1.000002536932787e+00	1.000011564866554e+00	8.933092666295514e-06	1.489661245766842e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.062230795371987e-05	
5	6.069179345940150e+01	5.352202629500000e-08	9.999739000952305e-01	1.755011440974983e-01	7.064045679489553e-10	2.515407215177282e+00	2.386070026217529e-05	1.000002594971996e+00	1.000024381978577e+00	1.261811297861706e-05	1.483272818703844e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.385781714883048e-05	
6	4.001717037504760e+01	5.352202629500000e-08	9.999490915686933e-01	1.743692906246539e-01	1.082784297891778e-09	2.515209500132737e+00	2.685778361915444e-05	1.000002560564143e+00	1.000049157963598e+00	1.043349265366491e-05	1.473725104913672e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.685414340185309e-05	
7	2.650110387248250e+01	5.352202629500000e-08	9.999048856948576e-01	1.727428827758139e-01	1.629814756857387e-09	2.514926413023322e+00	2.923428988689328e-05	1.000001976801250e+00	1.000092786399817e+00	-2.663072920700488e-05	1.460011816169055e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.922941939061670e-05	
8	1.766495469789320e+01	5.352202629500000e-08	9.998320769489012e-01	1.705066491587967e-01	2.423065696173624e-09	2.514538461058557e+00	3.091862569818951e-05	9.999999043887996e-01	1.000163541379316e+00	-1.582121567769613e-04	1.441165276365956e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.091158160143269e-05	
9	1.188830864330480e+01	5.352202629500000e-08	9.997211916654800e-01	1.676024796853667e-01	3.577101268507907e-09	2.514039781408608e+00	3.130377488965697e-05	9.999962275090759e-01	1.000270797837201e+00	-3.916642782397844e-04	1.416699667569732e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.129365677007839e-05	
10	8.111817438747661e+00	5.352202629500000e-08	9.995733913105114e-01	1.640842874946673e-01	5.216946337439958e-09	2.513450419609989e+00	3.094728954333032e-05	9.999931390101578e-01	1.000415611509361e+00	-5.877589777510642e-04	1.387065993182484e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.093309835741920e-05	
11	5.642930530440520e+00	5.352202629500000e-08	9.994005745522594e-01	1.601261523046300e-01	7.645296771512590e-09	2.512815526404105e+00	2.969936642927961e-05	9.999950578877757e-01	1.000590523808471e+00	-4.659257701492651e-04	1.353722121823984e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.968084144948599e-05	
12	4.028891933275240e+00	5.352202629500000e-08	9.992230230213359e-01	1.559175331987829e-01	1.094774559951609e-08	2.512184110928606e+00	2.825203442614888e-05	1.000007808297072e+00	1.000781078598783e+00	3.436220865784026e-04	1.318250745817238e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.822957992333613e-05	
13	2.973711728635770e+00	5.352202629500000e-08	9.990588505661846e-01	1.514768051279470e-01	1.541934633838069e-08	2.511581761676329e+00	2.650645536855839e-05	1.000039337126914e+00	1.000977092457700e+00	2.345447755906004e-03	1.280790333689453e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.648124709944880e-05	
14	2.283886053947150e+00	5.352202629500000e-08	9.989076793856779e-01	1.466143665501568e-01	2.081370173061488e-08	2.511011162866134e+00	2.436902190907552e-05	1.000100609460385e+00	1.001189915887017e+00	6.235745320879974e-03	1.239732505858482e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.434233234139486e-05	
15	1.832911462718730e+00	5.352202629500000e-08	9.987811092176575e-01	1.410328583820207e-01	2.733443940589517e-08	2.510486187509754e+00	2.214958105602643e-05	1.000211566845179e+00	1.001427883625751e+00	1.328064175986588e-02	1.192546148500274e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.212256535475985e-05	
