"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"
0	5.010000078023450e+02	5.352202629500000e-08	9.999977822903049e-01	1.747874881416296e-01	3.081296385651214e-02	2.515755024266781e+00	8.875420942113008e-08	1.000001974784567e+00	9.999998789621135e-01	-2.675877225388115e-05	1.500002676302132e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.228252443631368e-09	
1	3.278693397908290e+02	5.352202629500000e-08	9.999980178395816e-01	1.747924428843887e-01	3.078633128505457e-02	2.515755886249798e+00	8.875482977340129e-08	1.000002302755509e+00	9.999999713825758e-01	-5.935270281426649e-06	1.500004432965454e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.228421736081431e-09	
2	2.146849004455700e+02	5.352202629500000e-08	9.999985984412733e-01	1.747958641108927e-01	3.075563731628232e-02	2.515757550723858e+00	8.875760194932242e-08	1.000003110792449e+00	1.000000198814674e+00	4.536853948255075e-05	1.499986892733695e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.229169633107458e-09	
3	1.406903998926780e+02	5.352202629500000e-08	9.999991525949039e-01	1.748083930167522e-01	3.071685332170098e-02	2.515760440302231e+00	8.876708856431558e-08	1.000003870912564e+00	1.000000404777944e+00	9.363001845855936e-05	1.500033430638392e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.231703293714998e-09	
4	9.231638184086459e+01	5.352202629500000e-08	9.999999295580574e-01	1.748394542408917e-01	3.066319455117242e-02	2.515766850087167e+00	8.877740790380072e-08	1.000004926339088e+00	1.000000683236467e+00	1.606410657121145e-04	1.500212205354033e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.234463559083165e-09	
5	6.069179345940150e+01	5.352202629500000e-08	1.000001160384332e+00	1.748831712801948e-01	3.058357044268728e-02	2.515776281807860e+00	8.877868064868651e-08	1.000006624362469e+00	1.000001150424866e+00	2.684518157045210e-04	1.500457858896747e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.234825084309880e-09	
6	4.001717037504760e+01	5.352202629500000e-08	1.000002854825864e+00	1.749029383940197e-01	3.046015622099373e-02	2.515781890362882e+00	8.880077328631745e-08	1.000009002346098e+00	1.000001833952805e+00	4.194345414774451e-04	1.500440060566993e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.240737205065677e-09	
7	2.650110387248250e+01	5.352202629500000e-08	1.000004916795390e+00	1.748292133992542e-01	3.026396004389592e-02	2.515769786484146e+00	8.893201012088121e-08	1.000011713323724e+00	1.000002482942238e+00	5.915596925626651e-04	1.499538919772491e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.275793257587545e-09	
8	1.766495469789320e+01	5.352202629500000e-08	1.000008088977560e+00	1.745903211827931e-01	2.995447031887988e-02	2.515727244125263e+00	8.915055450193325e-08	1.000015138306022e+00	1.000002735717673e+00	8.090183650460882e-04	1.497100094606153e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.334479458394395e-09	
9	1.188830864330480e+01	5.352202629500000e-08	1.000012792486009e+00	1.741878201390302e-01	2.948943043394292e-02	2.515653808014138e+00	8.925094023577132e-08	1.000019398419528e+00	1.000002292297157e+00	1.079501114081172e-03	1.493079715257864e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.361649506450359e-09	
10	8.111817438747661e+00	5.352202629500000e-08	1.000021004160241e+00	1.737720928243425e-01	2.883116129034918e-02	2.515584439524698e+00	8.908881935002286e-08	1.000028310929278e+00	1.000002993060688e+00	1.645373393023541e-03	1.488682207656191e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.318189098851419e-09	
11	5.642930530440520e+00	5.352202629500000e-08	1.000033454725299e+00	1.735777942023085e-01	2.795664938839124e-02	2.515567649686999e+00	8.935422341802913e-08	1.000045101713479e+00	1.000007333024946e+00	2.711452375019542e-03	1.485847444220398e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.389995882356721e-09	
12	4.028891933275240e+00	5.352202629500000e-08	1.000058060075694e+00	1.736310207133419e-01	2.683167132595392e-02	2.515636097051477e+00	9.163085423446386e-08	1.000081263247611e+00	1.000018888201374e+00	5.007417294480663e-03	1.484764767497652e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	7.027627360884257e-09	
13	2.973711728635770e+00	5.352202629500000e-08	1.000102766079094e+00	1.735981782642144e-01	2.543560213443908e-02	2.515754801226461e+00	9.488340808426598e-08	1.000145893650806e+00	1.000038809430742e+00	9.110925124655622e-03	1.482653129354786e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.013065135857396e-09	
14	2.283886053947150e+00	5.352202629500000e-08	1.000178106369686e+00	1.730685205682789e-01	2.379654971286261e-02	2.515889614676674e+00	9.019063953659589e-08	1.000253135084347e+00	1.000070701507007e+00	1.591988871610825e-02	1.476139555812919e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.621940407730107e-09	
15	1.832911462718730e+00	5.352202629500000e-08	1.000291224626688e+00	1.718562052456950e-01	2.211355259391865e-02	2.516042315869905e+00	6.099576499442253e-08	1.000413961661157e+00	1.000118387248192e+00	2.613107547372722e-02	1.463908749820061e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.459760469717513e-09	
16	1.538086133079550e+00	5.352202629500000e-08	1.000471860752565e+00	1.699798333178930e-01	2.069663738347138e-02	2.516330183063420e+00	6.491102981817799e-09	1.000670540146026e+00	1.000194271308702e+00	4.242173388945672e-02	1.446375435332824e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.919102406189048e-13	
17	1.345343622331700e+00	5.352202629500000e-08	1.000682161398742e+00	1.675392529555593e-01	1.987532574529785e-02	2.516664625203977e+00	1.000000000000000e-10	1.000976844930424e+00	1.000290167853369e+00	6.186961010671905e-02	1.424712163739986e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.081699230135527e-20	
18	1.219337910763940e+00	5.352202629500000e-08	1.000849673936575e+00	1.642837609899788e-01	1.982657138638812e-02	2.516846986192642e+00	2.540802852476467e-07	1.001266994311453e+00	1.000412650767704e+00	8.029174888538482e-02	1.397047422058800e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.626066842627949e-07	
19	1.136961483861060e+00	5.352202629500000e-08	1.000801688805821e+00	1.594323836013065e-01	2.069327963472762e-02	2.516409256101095e+00	1.402151935812414e-06	1.001398464001707e+00	1.000591981055631e+00	8.863901080422795e-02	1.357258940221630e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.398581036247176e-06	
20	1.083107768621840e+00	5.352202629500000e-08	1.000314123288664e+00	1.521165519051970e-01	2.158249877415988e-02	2.514800201861655e+00	3.536514914930205e-06	1.001200513347321e+00	1.000881794364707e+00	7.607074540421119e-02	1.297512494782046e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.536884286011236e-06	
21	1.047900819812490e+00	5.352202629500000e-08	9.994585577739366e-01	1.409334704846480e-01	2.086279473575231e-02	2.512273174462750e+00	5.524019880064392e-06	1.000847570748325e+00	1.001385445933941e+00	5.366174519695543e-02	1.203901303328875e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.520724047762168e-06	
22	1.024884223112370e+00	5.352202629500000e-08	9.983300085648305e-01	1.234743008206844e-01	1.780879819468039e-02	2.508863182052440e+00	5.716515265896471e-06	1.000427454840393e+00	1.002096632266292e+00	2.698778321362496e-02	1.055002678336615e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.706682843848831e-06	
23	1.009837087771990e+00	5.352202629500000e-08	9.972317705332197e-01	9.048813018556225e-02	1.179862737986501e-02	2.505133019657392e+00	3.659289073143751e-06	1.000383122821828e+00	1.003155773016492e+00	2.417305862090853e-02	7.721596426538350e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.648458657505471e-06	
24	1.000000000000000e+00	5.352202629500000e-08	9.960456772538625e-01	0.000000000000000e+00	0.000000000000000e+00	2.500902540984100e+00	1.000000000000000e-10	1.000361016393640e+00	1.004328138917332e+00	2.276947924212063e-02	0.000000000000000e+00	0.000000000000000e+00	8.514145277983019e-05	-5.251157015497693e-08	3.830644027003947e+02	1.051973606169471e-20	
25	9.909241437988340e-01	-1.280289614488857e-03	9.977768894708920e-01	0.000000000000000e+00	0.000000000000000e+00	2.506576399088598e+00	1.000000000000000e-10	1.002630559635439e+00	1.004860149944720e+00	1.668671175564346e-01	0.000000000000000e+00	0.000000000000000e+00	3.818109037582795e-03	-5.128456315199024e-07	2.639989051837165e+00	1.058014475482328e-20	
26	9.789211302792580e-01	-2.951446198418808e-03	9.977189388269521e-01	0.000000000000000e+00	0.000000000000000e+00	2.505912731421528e+00	1.000000000000000e-10	1.002365092568611e+00	1.004652442522413e+00	1.500121060829247e-01	0.000000000000000e+00	0.000000000000000e+00	3.736189875592603e-03	-4.741655520325810e-07	2.503723894461697e+00	1.058272675625084e-20	
