"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
275, 6.368597311040070e-01, -4.162026487339388e-02, 1.001850138993374e+00, 1.173167193343750e-01, 2.712691349908055e-03
276, 6.276282525902900e-01, -4.243462858861940e-02, 1.001870185660718e+00, 1.185895205602315e-01, 2.718562123940161e-03
277, 6.183141866275500e-01, -4.324274839564234e-02, 1.001891542377464e+00, 1.199454993266454e-01, 2.724432976189512e-03
278, 6.089230652104620e-01, -4.404353001843556e-02, 1.001914253025930e+00, 1.213874418057623e-01, 2.730302404409323e-03
279, 5.994606211969700e-01, -4.483586085111709e-02, 1.001938364923593e+00, 1.229183522746544e-01, 2.736161987131339e-03
280, 5.899327756923080e-01, -4.561861289428874e-02, 1.001963928799021e+00, 1.245414515871072e-01, 2.742020509196402e-03
281, 5.803456244206100e-01, -4.639064562994082e-02, 1.001990998974535e+00, 1.262601887710591e-01, 2.747864164389431e-03
282, 5.707054231490321e-01, -4.715080946865579e-02, 1.002019633488453e+00, 1.280782487903455e-01, 2.753682484062740e-03
283, 5.610185722295000e-01, -4.789794933213104e-02, 1.002049894500829e+00, 1.299995783054915e-01, 2.759485979479588e-03
284, 5.512916003363530e-01, -4.863090808605761e-02, 1.002081847802501e+00, 1.320283545026002e-01, 2.765241516379121e-03
285, 5.415311474864990e-01, -4.934853080700029e-02, 1.002115562465237e+00, 1.341689628802336e-01, 2.770960093932012e-03
286, 5.317439474301470e-01, -5.004966851411126e-02, 1.002151111616797e+00, 1.364260464596512e-01, 2.776620731124261e-03
287, 5.219368095125050e-01, -5.073318251519467e-02, 1.002188572070287e+00, 1.388044822517900e-01, 2.782199728339867e-03
288, 5.121166001065770e-01, -5.139794887290158e-02, 1.002228023866816e+00, 1.413093522196096e-01, 2.787712303372130e-03
289, 5.022902237254860e-01, -5.204286235180954e-02, 1.002269550161562e+00, 1.439459360443891e-01, 2.793105246953378e-03
290, 4.924646039207970e-01, -5.266684144175821e-02, 1.002313237458529e+00, 1.467197260305245e-01, 2.798380289207769e-03
291, 4.826466640805560e-01, -5.326883253102981e-02, 1.002359175320400e+00, 1.496364086841032e-01, 2.803532028759875e-03
292, 4.728433082391680e-01, -5.384781416072871e-02, 1.002407455166678e+00, 1.527017884039553e-01, 2.808493864096119e-03
293, 4.630614020053360e-01, -5.440280211021307e-02, 1.002458171252763e+00, 1.559218496457466e-01, 2.813300843574134e-03
294, 4.533077537294870e-01, -5.493285287912920e-02, 1.002511420025412e+00, 1.593027159982550e-01, 2.817879832183269e-03
295, 4.435890960039310e-01, -5.543706858920638e-02, 1.002567298666870e+00, 1.628505577481147e-01, 2.822230883652775e-03
296, 4.339120676130220e-01, -5.591460064650605e-02, 1.002625906360217e+00, 1.665716722185340e-01, 2.826321941624136e-03
297, 4.242831960256030e-01, -5.636465361576352e-02, 1.002687343066034e+00, 1.704724060979400e-01, 2.830130130263585e-03
298, 4.147088805266780e-01, -5.678648875377961e-02, 1.002751708447189e+00, 1.745590871722537e-01, 2.833590668692825e-03
299, 4.051953760710730e-01, -5.717942777353959e-02, 1.002819102916843e+00, 1.788380908650274e-01, 2.836740679974978e-03
300, 3.957487779587870e-01, -5.754285488135374e-02, 1.002889626214809e+00, 1.833157498476733e-01, 2.839486563575268e-03
301, 3.863750073740760e-01, -5.787622033036236e-02, 1.002963376946486e+00, 1.879983247653421e-01, 2.841803010279527e-03
302, 3.770797978812900e-01, -5.817904262446177e-02, 1.003040452322289e+00, 1.928919876930885e-01, 2.843690547196148e-03
303, 3.678686829301750e-01, -5.845090990697710e-02, 1.003120947773942e+00, 1.980027977736045e-01, 2.845087518513754e-03
304, 3.587469844042950e-01, -5.869148183384367e-02, 1.003204956734215e+00, 2.033366872318830e-01, 2.845952294278756e-03
305, 3.497198022648570e-01, -5.890049075727950e-02, 1.003292568660398e+00, 2.088993358823503e-01, 2.846241817925933e-03
306, 3.407920053178110e-01, -5.907774237985596e-02, 1.003383871726012e+00, 2.146963420303242e-01, 2.846020697991874e-03
307, 3.319682231339110e-01, -5.922311480334862e-02, 1.003478949620369e+00, 2.207330192701925e-01, 2.845047771478706e-03
308, 3.232528390902350e-01, -5.933656107664884e-02, 1.003577881918460e+00, 2.270144199703309e-01, 2.843483729306205e-03
309, 3.146499846177870e-01, -5.941810610016426e-02, 1.003680742533867e+00, 2.335452370451893e-01, 2.841062450694942e-03
310, 3.061635345664540e-01, -5.946784792894075e-02, 1.003787599295872e+00, 2.403297771055819e-01, 2.838044703759082e-03
311, 2.977971037424850e-01, -5.948595237681027e-02, 1.003898523953997e+00, 2.473725956658616e-01, 2.834475424928019e-03
312, 2.895540445181870e-01, -5.947265120547269e-02, 1.004013576101160e+00, 2.546774763941925e-01, 2.829397008934584e-03
