"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"
0	5.010000078023450e+02	5.352202629500000e-08	1.000002012263785e+00	1.775688677892831e-01	5.747061104771405e-11	2.515771857862951e+00	1.584405402211435e-05	1.000002615273180e+00	9.999962894822185e-01	1.390707395771766e-05	1.500727368858762e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.584199078590915e-05	
1	3.278693397908290e+02	5.352202629500000e-08	1.000005356881686e+00	1.777679839808274e-01	9.934314560280207e-11	2.515807428787374e+00	2.081738599275899e-05	1.000002714146099e+00	9.999930437666068e-01	2.018470457759110e-05	1.502407617173570e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.081494997798791e-05	
2	2.146849004455700e+02	5.352202629500000e-08	1.000009659967414e+00	1.777635954697939e-01	1.593831286515403e-10	2.515806597059614e+00	2.559411365332384e-05	1.000002720699179e+00	9.999887473053678e-01	2.060077214291432e-05	1.502367290326134e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.559079590039179e-05	
3	1.406903998926780e+02	5.352202629500000e-08	1.000014573411214e+00	1.775514163330585e-01	2.559953589935146e-10	2.515768862694598e+00	3.171313374281612e-05	1.000002735872041e+00	9.999838491610366e-01	2.156412619918852e-05	1.500570362597144e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.170885666355863e-05	
4	9.231638184086459e+01	5.352202629500000e-08	1.000018408020144e+00	1.770570158589095e-01	4.058147853383608e-10	2.515681549134267e+00	3.864240013120153e-05	1.000002897693902e+00	9.999801765028081e-01	3.183850543967625e-05	1.496388962054252e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.863735004523307e-05	
5	6.069179345940150e+01	5.352202629500000e-08	1.000018043648082e+00	1.761264482988585e-01	6.394203540143751e-10	2.515518075879409e+00	4.526861419599646e-05	1.000003237136360e+00	9.999808802959417e-01	5.339035585828228e-05	1.488524333058081e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.526316137596236e-05	
6	4.001717037504760e+01	5.352202629500000e-08	1.000007453612472e+00	1.745336559526521e-01	9.997820351077712e-10	2.515239597355326e+00	5.126057769769619e-05	1.000003484940136e+00	9.999917178510018e-01	6.912389128918247e-05	1.475070551651559e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.125455341894304e-05	
7	2.650110387248250e+01	5.352202629500000e-08	9.999755282647969e-01	1.720160527559395e-01	1.540208672600388e-09	2.514802257216601e+00	5.462819724260447e-05	1.000002853580558e+00	1.000023012343242e+00	2.903766489332591e-05	1.453816703235723e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.462096300912062e-05	
8	1.766495469789320e+01	5.352202629500000e-08	9.999083046193507e-01	1.683767256230716e-01	2.321406581568609e-09	2.514177373493784e+00	5.511632218648454e-05	1.000000285077480e+00	1.000087674972928e+00	-1.340415048104691e-04	1.423108105452709e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.510693355083291e-05	
9	1.188830864330480e+01	5.352202629500000e-08	9.997957928771681e-01	1.636444109218723e-01	3.424744214058396e-09	2.513382806286291e+00	5.224595611542894e-05	9.999961299332809e-01	1.000196063587026e+00	-3.978595519658400e-04	1.383191613783435e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.223249043454941e-05	
