"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
24, 1.000000000000000e+00, 5.352202629500000e-08, 9.980924928656885e-01, -1.212634154909657e-01, 6.180109155053983e-05
25, 9.909241437988340e-01, -1.280289614488857e-03, 9.991377819991775e-01, -5.489601049189890e-02, 1.859970016468850e-03
26, 9.789211302792580e-01, -2.951446198418808e-03, 9.989461046118097e-01, -6.706597417854045e-02, 3.778536865213346e-03
27, 9.631568360186920e-01, -5.108981458577545e-03, 9.989766505889397e-01, -6.512655170648746e-02, 3.888582614941787e-03
28, 9.426407105822270e-01, -7.855481327107042e-03, 9.991123503428821e-01, -5.651071495889608e-02, 3.455886904743099e-03
29, 9.162555145009680e-01, -1.128961886009035e-02, 9.992549490276968e-01, -4.745685190395123e-02, 3.151446925642543e-03
30, 8.828360320456839e-01, -1.548809659764239e-02, 9.994149399504644e-01, -3.729872241871953e-02, 3.078270726112408e-03
31, 8.413159970120960e-01, -2.048015683562499e-02, 9.995936921579321e-01, -2.594940310847963e-02, 3.076923345421404e-03
32, 7.909517772165610e-01, -2.621660130830753e-02, 9.997677853382930e-01, -1.489589433428973e-02, 3.030059707530851e-03
33, 7.316031585245610e-01, -3.253806414443636e-02, 9.999325104828984e-01, -4.437180055813526e-03, 2.953799913175285e-03
34, 6.640065698311099e-01, -3.915032464739417e-02, 1.000098392114745e+00, 6.094961808072585e-03, 2.896743821541331e-03
35, 5.899327756923080e-01, -4.561861289428874e-02, 1.000281792944322e+00, 1.773943102116759e-02, 2.904607382274907e-03
36, 5.121166001065770e-01, -5.139794887290158e-02, 1.000512075390325e+00, 3.236050366832433e-02, 3.027392974272593e-03
37, 4.339120676130220e-01, -5.591460064650605e-02, 1.000791061942138e+00, 5.007389308403811e-02, 3.167847872019014e-03
38, 3.587469844042950e-01, -5.869148183384367e-02, 1.001157641621962e+00, 7.334873761829841e-02, 3.376947446754403e-03
39, 2.895540445181870e-01, -5.947265120547269e-02, 1.001640471571861e+00, 1.040045339946190e-01, 3.568121064072505e-03
40, 2.283665749856950e-01, -5.828472232042683e-02, 1.002288056403940e+00, 1.451209327448887e-01, 3.691860160450077e-03
41, 1.761797307773510e-01, -5.540399685008031e-02, 1.003213934749305e+00, 2.039067185700824e-01, 3.731809659205682e-03
42, 1.330574640378200e-01, -5.125402533974487e-02, 1.004472484790064e+00, 2.838144661880180e-01, 3.632412696495677e-03
43, 9.838551560343448e-02, -4.628967359474944e-02, 1.006050324648201e+00, 3.839945345860631e-01, 3.390065725409014e-03
44, 7.115831019240228e-02, -4.091264364521334e-02, 1.007855562694419e+00, 4.986125485830225e-01, 3.401574229306048e-03
45, 5.022241269090757e-02, -3.543266689255811e-02, 1.009877883137552e+00, 6.270135388805933e-01, 3.624954949812168e-03
46, 3.444508613221498e-02, -3.006547322461565e-02, 1.011909420039214e+00, 7.559996997460966e-01, 3.542220774758767e-03
47, 2.280943840223927e-02, -2.495170224279449e-02, 1.013694969282648e+00, 8.693676340220188e-01, 6.695959493103656e-03
48, 1.445220176924677e-02, -2.018402699144572e-02, 1.016189617688528e+00, 1.027757629458672e+00, 4.904330596099798e-03
49, 8.660977828664375e-03, -1.583432528077909e-02, 1.014481224189140e+00, 9.192884608438807e-01, 5.939831857674752e-03
50, 4.844550253733529e-03, -1.197282395717829e-02, 1.010781315160598e+00, 6.843741647989470e-01, 7.929566477362921e-03
51, 2.493434235242850e-03, -8.666019672232862e-03, 1.003781156920543e+00, 2.399207383822936e-01, 1.219810597114637e-02
52, 1.159193085740397e-03, -5.950300022223502e-03, 9.931170690076061e-01, -4.371625860192181e-01, 1.519508162329772e-02
53, 4.691284473891598e-04, -3.805771251873249e-03, 9.763887249426543e-01, -1.499277124430876e+00, 1.551539077211708e-02
