TITLE = "SU2 Simulation"
VARIABLES = "Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","Time(min)"
ZONE T= "Convergence history"
           0, 7.3413230631, 2.8127489227, 0.0000000000, 0.0000000000, 0.0000000000, 1.9129617072, 1.4952095748, 7.7182205945, 0.0000000000, 2.6100171984, -3.7184047078, -14.4258540109, -14.3842318931, -3.1723848491, 0.0000000000, -10.3225766532, 21.0000000000, 0.0263020674
           1, 4.6934608968, 1.6742217400, 0.0000000000, 0.0000000000, 0.0000000000, 1.3167751496, 0.8337756182, 4.9128822338, 0.0000000000, 2.8033687441, -3.8869581383, -4.4354350557, -3.8413812363, -3.3385943046, 0.0000000000, -10.8475152194, 21.0000000000, 0.0435379823
           2, 3.4995461798, 1.0841683904, 0.0000000000, 0.0000000000, 0.0000000000, 0.9026959059, 0.4600076197, 3.6346440752, 0.0000000000, 3.2278622128, -4.3428145562, -4.4587178027, -4.2220925079, -3.7980274676, 0.0000000000, -11.0511003374, 22.0000000000, 0.0616054336
           3, 2.5882981239, 0.6929324871, 0.0000000000, 0.0000000000, 0.0000000000, 0.5857416048, 0.2329520332, 2.6693025231, 0.0000000000, 3.7352818232, -4.5116857619, -4.3293792178, -4.2069675905, -3.9684039202, 0.0000000000, -11.1775649907, 21.0000000000, 0.0789832513
           4, 1.6642043774, 0.3311342730, 0.0000000000, 0.0000000000, 0.0000000000, 0.2922564180, 0.0371175419, 1.6964222365, 0.0000000000, 5.0257690404, -4.5896872534, -4.2958390900, -4.2528925022, -4.0471409390, 0.0000000000, -11.2573899621, 21.0000000000, 0.0962426146
           5, 0.7684900908, 0.0313089746, 0.0000000000, 0.0000000000, 0.0000000000, 0.0010974043, -0.1026135829, 0.7622517459, 0.0000000000, 24.5453611863, -4.5711134926, -4.3317112315, -4.3437061992, -4.0273018246, 0.0000000000, -11.2769824455, 21.0000000000, 0.1133333484
           6, 0.0124020964, -0.1604484606, 0.0000000000, 0.0000000000, 0.0000000000, -0.2363992367, -0.1601644894, -0.0156479021, 0.0000000000, -0.0772964499, -4.5144069527, -4.4085193006, -4.4554410208, -3.9699881725, 0.0000000000, -11.2419336046, 21.0000000000, 0.1312772314
           7, -0.5036394049, -0.2411623755, 0.0000000000, 0.0000000000, 0.0000000000, -0.3788045629, -0.1500425123, -0.5378653977, 0.0000000000, 2.0883829986, -4.4902046309, -4.4775907165, -4.5196766897, -3.9458388371, 0.0000000000, -11.2090920351, 21.0000000000, 0.1486154000
           8, -0.7487591186, -0.2372801959, 0.0000000000, 0.0000000000, 0.0000000000, -0.4231195411, -0.1036547201, -0.7785870587, 0.0000000000, 3.1555904439, -4.5077519141, -4.4882973820, -4.5032956609, -3.9634706091, 0.0000000000, -11.1828644607, 21.0000000000, 0.1659751654
           9, -0.7398757063, -0.1756452214, 0.0000000000, 0.0000000000, 0.0000000000, -0.3852785715, -0.0444987078, -0.7591358044, 0.0000000000, 4.2123304021, -4.5608597300, -4.4555592877, -4.4575122208, -4.0165608962, 0.0000000000, -11.1575998351, 20.0000000000, 0.1832034826
          10, -0.5253102955, -0.0862203122, 0.0000000000, 0.0000000000, 0.0000000000, -0.2890239839, 0.0063087436, -0.5323016519, 0.0000000000, 6.0926512777, -4.6239507491, -4.4257243065, -4.4254314150, -4.0797923465, 0.0000000000, -11.1249283367, 20.0000000000, 0.1998934984
          11, -0.1806892211, 0.0038349442, 0.0000000000, 0.0000000000, 0.0000000000, -0.1650171110, 0.0351530367, -0.1772782148, 0.0000000000, -47.1165193123, -4.6499389315, -4.4205691601, -4.4202328283, -4.1064611348, 0.0000000000, -11.0865922318, 20.0000000000, 0.2170335650
          12, 0.2071836052, 0.0787556378, 0.0000000000, 0.0000000000, 0.0000000000, -0.0436968528, 0.0415821072, 0.2177117936, 0.0000000000, 2.6307145868, -4.6245914704, -4.4397864146, -4.4419533540, -4.0818542333, 0.0000000000, -11.0478663971, 20.0000000000, 0.2335024317
          13, 0.5613146170, 0.1312214260, 0.0000000000, 0.0000000000, 0.0000000000, 0.0528127103, 0.0317566174, 0.5755733482, 0.0000000000, 4.2776140604, -4.5874546619, -4.4631992987, -4.4779616451, -4.0449452872, 0.0000000000, -11.0113293694, 20.0000000000, 0.2507954160
          14, 0.8265022793, 0.1588783462, 0.0000000000, 0.0000000000, 0.0000000000, 0.1126791561, 0.0129440125, 0.8415347879, 0.0000000000, 5.2021077693, -4.5682958448, -4.4578002952, -4.4993790025, -4.0255730652, 0.0000000000, -10.9778795868, 20.0000000000, 0.2673432827
          15, 0.9739994919, 0.1641052638, 0.0000000000, 0.0000000000, 0.0000000000, 0.1332992336, -0.0075211008, 0.9876988310, 0.0000000000, 5.9352117633, -4.5728417589, -4.4188393054, -4.4855315760, -4.0296143908, 0.0000000000, -10.9447179638, 19.0000000000, 0.2836553494
          16, 1.0023727293, 0.1520159181, 0.0000000000, 0.0000000000, 0.0000000000, 0.1199380613, -0.0243537430, 1.0135417223, 0.0000000000, 6.5938668902, -4.5941925179, -4.3775594175, -4.4550391812, -4.0502437221, 0.0000000000, -10.9114751237, 19.0000000000, 0.3006930828
          17, 0.9331797836, 0.1283967046, 0.0000000000, 0.0000000000, 0.0000000000, 0.0832304528, -0.0355988987, 0.9412985397, 0.0000000000, 7.2679418557, -4.6177283774, -4.3576132464, -4.4360209041, -4.0729658002, 0.0000000000, -10.8780119733, 19.0000000000, 0.3163313985
          18, 0.8022287812, 0.0993951310, 0.0000000000, 0.0000000000, 0.0000000000, 0.0357913965, -0.0414204703, 0.8073009068, 0.0000000000, 8.0711074379, -4.6278401561, -4.3616910872, -4.4362460563, -4.0825323135, 0.0000000000, -10.8454196782, 19.0000000000, 0.3328143160
          19, 0.6499203426, 0.0709745850, 0.0000000000, 0.0000000000, 0.0000000000, -0.0106325556, -0.0429611616, 0.6523711996, 0.0000000000, 9.1570854923, -4.6224624516, -4.3770554779, -4.4444209614, -4.0771833663, 0.0000000000, -10.8145431377, 19.0000000000, 0.3492982984
          20, 0.5128310192, 0.0478718858, 0.0000000000, 0.0000000000, 0.0000000000, -0.0470113540, -0.0419075676, 0.5133528294, 0.0000000000, 10.7125719020, -4.6159377877, -4.3854601887, -4.4439856689, -4.0709814971, 0.0000000000, -10.7839635890, 19.0000000000, 0.3657925487
          21, 0.4173555192, 0.0331095028, 0.0000000000, 0.0000000000, 0.0000000000, -0.0680940822, -0.0398665303, 0.4167643559, 0.0000000000, 12.6053091703, -4.6234518931, -4.3822355939, -4.4339669678, -4.0784920854, 0.0000000000, -10.7530054163, 19.0000000000, 0.3822058002
          22, 0.3764260035, 0.0278366960, 0.0000000000, 0.0000000000, 0.0000000000, -0.0726286851, -0.0379518955, 0.3755410382, 0.0000000000, 13.5226538052, -4.6495630927, -4.3817690296, -4.4303712184, -4.1037678534, 0.0000000000, -10.7222517506, 19.0000000000, 0.3986272335
          23, 0.3896091702, 0.0312615943, 0.0000000000, 0.0000000000, 0.0000000000, -0.0627661504, -0.0368682620, 0.3891186503, 0.0000000000, 12.4628695126, -4.6856683216, -4.3996188385, -4.4472182755, -4.1382037491, 0.0000000000, -10.6926649248, 19.0000000000, 0.4151191672
          24, 0.4458411934, 0.0410644829, 0.0000000000, 0.0000000000, 0.0000000000, -0.0429630800, -0.0369788896, 0.4461986365, 0.0000000000, 10.8570999049, -4.7144405371, -4.4390402644, -4.4856147969, -4.1654557937, 0.0000000000, -10.6658021153, 19.0000000000, 0.4316158334
          25, 0.5276924464, 0.0541378298, 0.0000000000, 0.0000000000, 0.0000000000, -0.0187014298, -0.0383174772, 0.5290765479, 0.0000000000, 9.7472035470, -4.7271374028, -4.4859211643, -4.5311788255, -4.1779157565, 0.0000000000, -10.6418170221, 19.0000000000, 0.4480272810
          26, 0.6160841453, 0.0673124003, 0.0000000000, 0.0000000000, 0.0000000000, 0.0047360186, -0.0406921154, 0.6184131185, 0.0000000000, 9.1526099519, -4.7359669336, -4.5117022905, -4.5599994966, -4.1873437669, 0.0000000000, -10.6200941104, 19.0000000000, 0.4645383676
          27, 0.6943959718, 0.0779674813, 0.0000000000, 0.0000000000, 0.0000000000, 0.0232334581, -0.0437976150, 0.6973854477, 0.0000000000, 8.9062255251, -4.7598832445, -4.5029739834, -4.5634654253, -4.2114227271, 0.0000000000, -10.6001639181, 19.0000000000, 0.4810353001
          28, 0.7512695045, 0.0844744176, 0.0000000000, 0.0000000000, 0.0000000000, 0.0344083294, -0.0472655190, 0.7545248613, 0.0000000000, 8.8934558608, -4.8083148282, -4.4804663871, -4.5587365456, -4.2587016534, 0.0000000000, -10.5817255611, 19.0000000000, 0.4973604004
          29, 0.7818048815, 0.0863458802, 0.0000000000, 0.0000000000, 0.0000000000, 0.0377412031, -0.0507249007, 0.7849213134, 0.0000000000, 9.0543391305, -4.8749415885, -4.4683255719, -4.5644187488, -4.3225401244, 0.0000000000, -10.5644938347, 19.0000000000, 0.5137781342
          30, 0.7872513148, 0.0841226124, 0.0000000000, 0.0000000000, 0.0000000000, 0.0343241196, -0.0538601553, 0.7898989367, 0.0000000000, 9.3583793034, -4.9356691342, -4.4753061276, -4.5860446930, -4.3797706386, 0.0000000000, -10.5482848552, 19.0000000000, 0.5302732666
          31, 0.7735332586, 0.0790665426, 0.0000000000, 0.0000000000, 0.0000000000, 0.0263437139, -0.0564572965, 0.7755113113, 0.0000000000, 9.7833196305, -4.9684914057, -4.4985306946, -4.6177689857, -4.4103157207, 0.0000000000, -10.5332631181, 19.0000000000, 0.5460796833
          32, 0.7491189232, 0.0726849558, 0.0000000000, 0.0000000000, 0.0000000000, 0.0164500669, -0.0585024279, 0.7503597336, 0.0000000000, 10.3063820407, -4.9858925236, -4.5288877830, -4.6470527655, -4.4261495862, 0.0000000000, -10.5191771717, 19.0000000000, 0.5624758482
          33, 0.7228186341, 0.0663363416, 0.0000000000, 0.0000000000, 0.0000000000, 0.0071488107, -0.0601875951, 0.7233565797, 0.0000000000, 10.8962691750, -5.0156044799, -4.5561077018, -4.6629209114, -4.4527212224, 0.0000000000, -10.5058949108, 19.0000000000, 0.5790508151
          34, 0.7020159773, 0.0611650386, 0.0000000000, 0.0000000000, 0.0000000000, 0.0003171320, -0.0616679909, 0.7019719747, 0.0000000000, 11.4774059344, -5.0695298635, -4.5750519369, -4.6656593663, -4.5007434930, 0.0000000000, -10.4931576035, 19.0000000000, 0.5955470483
          35, 0.6915010314, 0.0579419372, 0.0000000000, 0.0000000000, 0.0000000000, -0.0030481426, -0.0630162250, 0.6910570887, 0.0000000000, 11.9343788785, -5.1407681893, -4.5883340079, -4.6658769507, -4.5643014402, 0.0000000000, -10.4816348428, 19.0000000000, 0.6116442641
