"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"
0	5.010000078023450e+02	5.352202629500000e-08	9.999976259101314e-01	1.747879087090350e-01	3.081727949953868e-02	2.515754686620507e+00	8.875114504853919e-08	1.000001756141829e+00	9.999998167003255e-01	-4.064081760107911e-05	1.500012790718256e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.227434733710034e-09	
1	3.278693397908290e+02	5.352202629500000e-08	9.999978383535462e-01	1.747923845082680e-01	3.079547089638037e-02	2.515755533772824e+00	8.875182129283939e-08	1.000002052148445e+00	9.999999002624692e-01	-2.184679178614790e-05	1.500017670353641e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.227618445506201e-09	
2	2.146849004455700e+02	5.352202629500000e-08	9.999983071841843e-01	1.747929464739509e-01	3.077089931193333e-02	2.515756500587274e+00	8.875320381625873e-08	1.000002705094045e+00	1.000000084374973e+00	1.960997238188252e-05	1.499985487918076e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.227994677477489e-09	
3	1.406903998926780e+02	5.352202629500000e-08	9.999986820316743e-01	1.747995896756251e-01	3.074081044598786e-02	2.515758020295319e+00	8.876004416376899e-08	1.000003221019415e+00	1.000000225450782e+00	5.236706026439400e-05	1.499996048375349e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.229820782903256e-09	
4	9.231638184086459e+01	5.352202629500000e-08	9.999991571817167e-01	1.748269175598838e-01	3.070024950041391e-02	2.515763167829570e+00	8.877986206223246e-08	1.000003870536320e+00	1.000000399814883e+00	9.360612999853514e-05	1.500163348941170e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.235102196412303e-09	
5	6.069179345940150e+01	5.352202629500000e-08	9.999999593893694e-01	1.748820928858445e-01	3.064196738868715e-02	2.515773775655542e+00	8.879458011470977e-08	1.000004974690669e+00	1.000000701756508e+00	1.637110000323580e-04	1.500536119500223e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.239034846517819e-09	
6	4.001717037504760e+01	5.352202629500000e-08	1.000001197124576e+00	1.749422547973037e-01	3.055387536442639e-02	2.515785776725801e+00	8.879175667664089e-08	1.000006651878703e+00	1.000001141200707e+00	2.701988740339761e-04	1.500906494436222e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.238306533030925e-09	
7	2.650110387248250e+01	5.352202629500000e-08	1.000002994422758e+00	1.749365277009743e-01	3.041391252609056e-02	2.515786040564079e+00	8.884655793756184e-08	1.000008876147240e+00	1.000001568158138e+00	4.114219347990518e-04	1.500652728218338e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.252944577107068e-09	
8	1.766495469789320e+01	5.352202629500000e-08	1.000005224596104e+00	1.747658520024072e-01	3.018941684880537e-02	2.515754746183239e+00	8.908206568458655e-08	1.000011030557379e+00	1.000001492382536e+00	5.482095523681663e-04	1.498904186028384e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.316018156394282e-09	
9	1.188830864330480e+01	5.352202629500000e-08	1.000007068790348e+00	1.743826259905556e-01	2.984294760769081e-02	2.515678783258038e+00	8.933153396967721e-08	1.000011577199535e+00	1.000000194834509e+00	5.829169076622972e-04	1.495214226408142e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.383315642922975e-09	
10	8.111817438747661e+00	5.352202629500000e-08	1.000008021083284e+00	1.739003058456597e-01	2.934188615262295e-02	2.515576013124301e+00	8.931285165159929e-08	1.000010002612846e+00	9.999976679817593e-01	4.829433891885049e-04	1.490486547744073e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.378320837915864e-09	
11	5.642930530440520e+00	5.352202629500000e-08	1.000009855520728e+00	1.735834514462297e-01	2.866543030732596e-02	2.515500131657543e+00	8.918818857079527e-08	1.000009529371710e+00	9.999953603322410e-01	4.528964048883340e-04	1.486902857340909e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.344753963999274e-09	
