"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"
0	5.010000078023450e+02	5.352202629500000e-08	9.999954305173107e-01	1.714407486967616e-01	4.596521045030821e-02	2.515749144801886e+00	8.874557005688227e-08	9.999986829514690e-01	9.999989389116291e-01	-2.357635474922934e-04	1.500117051145660e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.225912397780616e-09	
1	3.278693397908290e+02	5.352202629500000e-08	9.999962375978720e-01	1.714640550303248e-01	4.593497158041709e-02	2.515754560265815e+00	8.874711061088934e-08	9.999998116393135e-01	9.999992605161100e-01	-1.641009989256753e-04	1.500239701569616e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.226336716203809e-09	
2	2.146849004455700e+02	5.352202629500000e-08	9.999965179925561e-01	1.714699510995390e-01	4.590860386263616e-02	2.515755331528694e+00	8.874987640446977e-08	1.000000201860369e+00	9.999993703413876e-01	-1.393251182859402e-04	1.500229682296172e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.227077227010325e-09	
3	1.406903998926780e+02	5.352202629500000e-08	9.999961133602193e-01	1.714675621761169e-01	4.588136743486038e-02	2.515752245883444e+00	8.875442700934578e-08	9.999996289113502e-01	9.999992020262685e-01	-1.757027465737805e-04	1.500151394783392e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.228279959639424e-09	
4	9.231638184086459e+01	5.352202629500000e-08	9.999959771420650e-01	1.714612667507900e-01	4.584414113700465e-02	2.515748941218264e+00	8.875842394018045e-08	9.999994208881994e-01	9.999991302217716e-01	-1.889105340242390e-04	1.500018957928121e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.229340645843063e-09	
5	6.069179345940150e+01	5.352202629500000e-08	9.999964122182986e-01	1.714613815760941e-01	4.579613367302180e-02	2.515748187174885e+00	8.876029126058415e-08	9.999999940232330e-01	9.999992682789733e-01	-1.525210952756047e-04	1.499914388553314e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.229845709565103e-09	
6	4.001717037504760e+01	5.352202629500000e-08	9.999970034285637e-01	1.714949213193103e-01	4.574397620697605e-02	2.515753476615814e+00	8.876857482953277e-08	1.000000767886551e+00	9.999994509296678e-01	-1.033870341070206e-04	1.500073560293270e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.232060684765712e-09	
7	2.650110387248250e+01	5.352202629500000e-08	9.999947300691784e-01	1.715880456488362e-01	4.569556076265763e-02	2.515758982013731e+00	8.878286339118795e-08	9.999974512359621e-01	9.999984076460247e-01	-3.139675192667476e-04	1.500732873636579e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.235823002661248e-09	
8	1.766495469789320e+01	5.352202629500000e-08	9.999833376002668e-01	1.717151701463846e-01	4.563426307002452e-02	2.515736701562753e+00	8.880773038830409e-08	9.999808582968003e-01	9.999932071425546e-01	-1.367484941570174e-03	1.501658985913247e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.242243892503002e-09	
9	1.188830864330480e+01	5.352202629500000e-08	9.999591664278143e-01	1.717570964697286e-01	4.548841057315146e-02	2.515647657186096e+00	8.896101356005144e-08	9.999448659063840e-01	9.999813854329309e-01	-3.652710603172174e-03	1.501730563000073e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.282745477793800e-09	
10	8.111817438747661e+00	5.352202629500000e-08	9.999273838348467e-01	1.715653999228389e-01	4.516230686687437e-02	2.515478346885948e+00	8.926025562688974e-08	9.998960175298489e-01	9.999643180290835e-01	-6.754187395750047e-03	1.499520863435057e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.362623779799296e-09	
11	5.642930530440520e+00	5.352202629500000e-08	9.998928085513193e-01	1.711912284082840e-01	4.464723043268441e-02	2.515257297903054e+00	8.943011493501825e-08	9.998422857010018e-01	9.999451584280775e-01	-1.016572390961112e-02	1.495424092665370e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.408004842242288e-09	
12	4.028891933275240e+00	5.352202629500000e-08	9.998509681518265e-01	1.710223740390648e-01	4.407799715110094e-02	2.515048078760650e+00	8.924719934056734e-08	9.997799972086794e-01	9.999247052611643e-01	-1.412053934229595e-02	1.492912690801118e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.357800626456767e-09	
13	2.973711728635770e+00	5.352202629500000e-08	9.998019236094186e-01	1.714406497620790e-01	4.368994290249899e-02	2.514926941959263e+00	8.936641934373954e-08	9.997093950514776e-01	9.999031399865468e-01	-1.860320524850166e-02	1.495612852130019e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.389122516959154e-09	
14	2.283886053947150e+00	5.352202629500000e-08	9.997282013071277e-01	1.724939946435868e-01	4.381502873198388e-02	2.514849024065124e+00	9.120310143662696e-08	9.996031003849432e-01	9.998705520827148e-01	-2.535205679313175e-02	1.504638684412687e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.898291704338743e-09	
15	1.832911462718730e+00	5.352202629500000e-08	9.996030815918737e-01	1.741751593283256e-01	4.481257662612627e-02	2.514740203426369e+00	9.498272449521001e-08	9.994244820434603e-01	9.998170167813272e-01	-3.669287669612149e-02	1.520728912804487e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.033247943420407e-09	
16	1.538086133079550e+00	5.352202629500000e-08	9.992581706270306e-01	1.769713325410309e-01	4.704424896841451e-02	2.514132682445512e+00	8.195564195378117e-08	9.989416914978192e-01	9.996789737657753e-01	-6.734617122080241e-02	1.549019472958349e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.586989727268413e-09	
17	1.345343622331700e+00	5.352202629500000e-08	9.983864772642724e-01	1.819051943733244e-01	4.943742975581407e-02	2.512086920159938e+00	1.000000000000000e-10	9.977165708507626e-01	9.993247003013361e-01	-1.451314227373193e-01	1.596255474516682e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.074197677893721e-20	
18	1.219337910763940e+00	5.352202629500000e-08	9.972990175944549e-01	1.883505058723645e-01	4.872575540620924e-02	2.509379335895705e+00	1.206496913289754e-06	9.961612100251530e-01	9.988548023072276e-01	-2.438842543948775e-01	1.649650942428901e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.196888681400986e-06	
19	1.136961483861060e+00	5.352202629500000e-08	9.966295484649514e-01	1.903727070065338e-01	4.397653662166993e-02	2.507574892266730e+00	3.741543976671377e-05	9.953689953377655e-01	9.987308758038038e-01	-2.941834790970079e-01	1.657946727196744e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.728931508427473e-05	
20	1.083107768621840e+00	5.352202629500000e-08	9.957023364213695e-01	1.822254220732352e-01	3.832609849087282e-02	2.504831143529274e+00	6.359806931966071e-05	9.949675256229731e-01	9.992577072614705e-01	-3.196735586384939e-01	1.581156890442119e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.332475840300247e-05	
21	1.047900819812490e+00	5.352202629500000e-08	9.945692752819092e-01	1.661826537083419e-01	3.262575276901532e-02	2.501149148267922e+00	5.465270024939781e-05	9.946921145317356e-01	1.000119195942504e+00	-3.371599352282758e-01	1.439037575505476e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.435589174243896e-05	
22	1.024884223112370e+00	5.352202629500000e-08	9.934201138632900e-01	1.428356447695865e-01	2.618875682039269e-02	2.496874126336269e+00	3.221313979962286e-05	9.945041410856331e-01	1.001086889011436e+00	-3.490947286044496e-01	1.234760114327329e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.200117175536860e-05	
23	1.009837087771990e+00	5.352202629500000e-08	9.920964361486512e-01	9.922224680088013e-02	1.651126098825566e-02	2.490904103935073e+00	1.016999404639182e-05	9.943219858246516e-01	1.002238956379592e+00	-3.606601142867060e-01	8.559253716901946e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.008952370513027e-05	
24	1.000000000000000e+00	5.352202629500000e-08	9.905366778116302e-01	0.000000000000000e+00	0.000000000000000e+00	2.486975761565450e+00	1.000000000000000e-10	9.947903046261800e-01	1.004289932779389e+00	-3.309256584563170e-01	0.000000000000000e+00	0.000000000000000e+00	8.886573440789002e-05	-6.980878270375244e-08	3.902804339655810e+02	1.028982755182737e-20	
25	9.909241437988340e-01	-1.280289614488857e-03	9.918845568547937e-01	0.000000000000000e+00	0.000000000000000e+00	2.490784739900286e+00	1.000000000000000e-10	9.963138959601140e-01	1.004461246474172e+00	-2.341899325478750e-01	0.000000000000000e+00	0.000000000000000e+00	2.504230930018459e-03	-1.186378261869258e-06	2.132364493126669e+00	1.034188318102841e-20	
26	9.789211302792580e-01	-2.951446198418808e-03	9.913482380592094e-01	0.000000000000000e+00	0.000000000000000e+00	2.490486640909773e+00	1.000000000000000e-10	9.961946563639091e-01	1.004884379686049e+00	-2.417606824195765e-01	0.000000000000000e+00	0.000000000000000e+00	4.818150118061853e-03	-9.472187693539361e-07	2.833636509875944e+00	1.030952369538644e-20	
27	9.631568360186920e-01	-5.108981458577545e-03	9.919842387973717e-01	0.000000000000000e+00	0.000000000000000e+00	2.490906939363918e+00	1.000000000000000e-10	9.963627757455668e-01	1.004409585296827e+00	-2.310864615430796e-01	0.000000000000000e+00	0.000000000000000e+00	4.777242419152418e-03	-9.162291470504317e-07	2.733334412571176e+00	1.034726754979470e-20	
28	9.426407105822270e-01	-7.855481327107042e-03	9.926866256569893e-01	0.000000000000000e+00	0.000000000000000e+00	2.491644497892348e+00	1.000000000000000e-10	9.966577991569389e-01	1.003996099363809e+00	-2.123548612619359e-01	0.000000000000000e+00	0.000000000000000e+00	4.174680038371288e-03	-6.910335947011943e-07	2.494550962682698e+00	1.038645582275264e-20	
29	9.162555145009680e-01	-1.128961886009035e-02	9.931938830614940e-01	0.000000000000000e+00	0.000000000000000e+00	2.492488459373587e+00	1.000000000000000e-10	9.969953837494347e-01	1.003823221417108e+00	-1.909209702419111e-01	0.000000000000000e+00	0.000000000000000e+00	3.808038585726352e-03	-5.551775243227103e-07	2.339537949838503e+00	1.041183317134251e-20	
30	8.828360320456839e-01	-1.548809659764239e-02	9.936467586744383e-01	0.000000000000000e+00	0.000000000000000e+00	2.493467817320426e+00	1.000000000000000e-10	9.973871269281702e-01	1.003759953895530e+00	-1.660484470654972e-01	0.000000000000000e+00	0.000000000000000e+00	3.692431442460965e-03	-4.933936131097305e-07	2.272660988954386e+00	1.043235174391383e-20	
31	8.413159970120960e-01	-2.048015683562499e-02	9.940549001232197e-01	0.000000000000000e+00	0.000000000000000e+00	2.494512932597654e+00	1.000000000000000e-10	9.978051730390616e-01	1.003768372209073e+00	-1.395059004523850e-01	0.000000000000000e+00	0.000000000000000e+00	3.613386536336621e-03	-4.733403659297696e-07	2.225775880625473e+00	1.044930060472041e-20	
32	7.909517772165610e-01	-2.621660130830753e-02	9.944031868814929e-01	0.000000000000000e+00	0.000000000000000e+00	2.495538420468581e+00	1.000000000000000e-10	9.982153681874320e-01	1.003829307398511e+00	-1.134618264556708e-01	0.000000000000000e+00	0.000000000000000e+00	3.479060091048729e-03	-4.546214894923580e-07	2.168163277126839e+00	1.046248873220045e-20	
33	7.316031585245610e-01	-3.253806414443636e-02	9.947391678347911e-01	0.000000000000000e+00	0.000000000000000e+00	2.496561206104535e+00	1.000000000000000e-10	9.986244824418135e-01	1.003901532323730e+00	-8.748638048427711e-02	0.000000000000000e+00	0.000000000000000e+00	3.328801929711127e-03	-4.247529430193827e-07	2.110034014043248e+00	1.047489860337677e-20	
34	6.640065698311099e-01	-3.915032464739417e-02	9.950829029951104e-01	0.000000000000000e+00	0.000000000000000e+00	2.497607000105025e+00	1.000000000000000e-10	9.990428000420097e-01	1.003975133770800e+00	-6.092659649628399e-02	0.000000000000000e+00	0.000000000000000e+00	3.212987850739780e-03	-3.973723982366984e-07	2.066083527282804e+00	1.048761231657087e-20	
35	5.899327756923080e-01	-4.561861289428874e-02	9.954383042082638e-01	0.000000000000000e+00	0.000000000000000e+00	2.498708059759112e+00	1.000000000000000e-10	9.994832239036447e-01	1.004059124894092e+00	-3.296324371673354e-02	0.000000000000000e+00	0.000000000000000e+00	3.173191778025612e-03	-3.859266194817663e-07	2.049375365412696e+00	1.050057847497178e-20	
36	5.121166001065770e-01	-5.139794887290158e-02	9.958512991548931e-01	0.000000000000000e+00	0.000000000000000e+00	2.499934896631809e+00	1.000000000000000e-10	9.999739586527234e-01	1.004135503051805e+00	-1.805556531647285e-03	0.000000000000000e+00	0.000000000000000e+00	3.248121517214457e-03	-3.977878143480687e-07	2.072250811715250e+00	1.051617182999489e-20	
37	4.339120676130220e-01	-5.591460064650605e-02	9.962570233721509e-01	0.000000000000000e+00	0.000000000000000e+00	2.501251569797953e+00	1.000000000000000e-10	1.000500627919181e+00	1.004255216038376e+00	3.163368184528318e-02	0.000000000000000e+00	0.000000000000000e+00	3.332533867814105e-03	-4.177636450879643e-07	2.100297933566174e+00	1.053042667406292e-20	
