"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
96, 1.000000000000000e+00, 5.352202629500000e-08, 1.003114417925092e+00, 1.975882051892977e-01, 3.473334278871628e-05
97, 9.979658291430820e-01, -2.881794857271442e-04, 1.003501571912691e+00, 2.221693518488501e-01, 1.578742028558043e-03
98, 9.957820729228830e-01, -5.967886532841323e-04, 1.003311151969148e+00, 2.100792256741059e-01, 2.103745763875301e-03
99, 9.934384637941019e-01, -9.270488597400344e-04, 1.003135165821733e+00, 1.989055288035062e-01, 2.174197576608243e-03
100, 9.909241437988340e-01, -1.280289614488857e-03, 1.002989225157376e+00, 1.896394770797321e-01, 2.121580651670386e-03
101, 9.882276487590520e-01, -1.657893415929766e-03, 1.002870715322825e+00, 1.821150611702729e-01, 2.057769501200841e-03
102, 9.853368952903420e-01, -2.061293361678059e-03, 1.002773480323602e+00, 1.759414252194184e-01, 2.030505726107163e-03
103, 9.822391712272380e-01, -2.491969834944034e-03, 1.002690332645666e+00, 1.706622202229570e-01, 2.043098642542418e-03
104, 9.789211302792580e-01, -2.951446198418808e-03, 1.002615482247709e+00, 1.659098253913071e-01, 2.079042374283534e-03
105, 9.753687917200690e-01, -3.441283350046040e-03, 1.002545363462001e+00, 1.614578496651088e-01, 2.121474970968524e-03
106, 9.715675460812661e-01, -3.963073044857662e-03, 1.002478334945321e+00, 1.572020810261139e-01, 2.160964396455430e-03
107, 9.675021678017420e-01, -4.518429822299970e-03, 1.002413890850985e+00, 1.531104023014988e-01, 2.194934396294103e-03
108, 9.631568360186920e-01, -5.108981458577545e-03, 1.002351995354383e+00, 1.491805389182343e-01, 2.224321975017730e-03
109, 9.585151646336830e-01, -5.736357801147233e-03, 1.002292713921274e+00, 1.454166474225740e-01, 2.250860662884776e-03
110, 9.535602429161220e-01, -6.402177880090121e-03, 1.002236079115478e+00, 1.418207953535834e-01, 2.275833922224294e-03
111, 9.482746880048850e-01, -7.108035234927211e-03, 1.002182078504761e+00, 1.383921933650678e-01, 2.299872681322116e-03
112, 9.426407105822270e-01, -7.855481327107042e-03, 1.002130683066856e+00, 1.351289987778074e-01, 2.323162510040628e-03
113, 9.366401951685740e-01, -8.646007049145999e-03, 1.002081874225005e+00, 1.320300321178654e-01, 2.345700057617685e-03
114, 9.302547962764830e-01, -9.481022247350132e-03, 1.002035655897862e+00, 1.290955421881630e-01, 2.367446150541950e-03
115, 9.234660517702999e-01, -1.036183331256595e-02, 1.001992054905013e+00, 1.263272318154134e-01, 2.388388860852940e-03
116, 9.162555145009680e-01, -1.128961886009035e-02, 1.001951116166534e+00, 1.237279530610781e-01, 2.408547828775336e-03
117, 9.086049032279730e-01, -1.226540359178139e-02, 1.001912897129955e+00, 1.213013533786998e-01, 2.427960026478347e-03
118, 9.004962734807360e-01, -1.329003047580013e-02, 1.001877463856621e+00, 1.190516271293569e-01, 2.446666306529286e-03
119, 8.919122087664410e-01, -1.436413140679768e-02, 1.001844888429421e+00, 1.169833509933766e-01, 2.464702551941959e-03
120, 8.828360320456839e-01, -1.548809659764239e-02, 1.001815247279973e+00, 1.151013777602827e-01, 2.482099599295024e-03
121, 8.732520369379220e-01, -1.666204293780597e-02, 1.001788619956323e+00, 1.134107580875834e-01, 2.498883791833933e-03
122, 8.631457374960591e-01, -1.788578165295289e-02, 1.001765087922293e+00, 1.119166642690659e-01, 2.515078278767723e-03
123, 8.525041346896460e-01, -1.915878563887750e-02, 1.001744733442384e+00, 1.106243194350921e-01, 2.530706949020357e-03
124, 8.413159970120960e-01, -2.048015683562499e-02, 1.001727638667538e+00, 1.095389395060483e-01, 2.545795236944474e-03
125, 8.295721517532200e-01, -2.184859409030840e-02, 1.001713884743140e+00, 1.086656765574458e-01, 2.560370474171300e-03
126, 8.172657826166300e-01, -2.326236201353585e-02, 1.001703551293374e+00, 1.080095860809108e-01, 2.574464379096861e-03
127, 8.043927284804649e-01, -2.471926132528821e-02, 1.001696716599926e+00, 1.075756383304115e-01, 2.588111843201800e-03
128, 7.909517772165610e-01, -2.621660130830753e-02, 1.001693458112917e+00, 1.073687507621350e-01, 2.601356194541324e-03
129, 7.769449477048480e-01, -2.775117492280826e-02, 1.001693853732805e+00, 1.073938694249899e-01, 2.614242558859057e-03
130, 7.623777524675190e-01, -2.931923744885270e-02, 1.001697984020155e+00, 1.076561092632201e-01, 2.626826190034685e-03
131, 7.472594328699030e-01, -3.091648930628510e-02, 1.001705934821676e+00, 1.081609208485808e-01, 2.639163532569704e-03
132, 7.316031585245610e-01, -3.253806414443636e-02, 1.001717801019215e+00, 1.089143284107805e-01, 2.651321399483479e-03
133, 7.154261825498690e-01, -3.417852304597178e-02, 1.001733691000498e+00, 1.099232136938027e-01, 2.663361670090429e-03
134, 6.987499446352849e-01, -3.583185629664898e-02, 1.001753731593265e+00, 1.111956292331649e-01, 2.675357443120462e-03
135, 6.816001145580280e-01, -3.749149362242028e-02, 1.001778073958324e+00, 1.127411725175507e-01, 2.687371633170503e-03
136, 6.640065698311099e-01, -3.915032464739417e-02, 1.001806899582040e+00, 1.145713664631468e-01, 2.699471400607120e-03
137, 6.460033025913720e-01, -4.080073056778152e-02, 1.001840426339948e+00, 1.167000444040754e-01, 2.711710864328176e-03
138, 6.276282525902900e-01, -4.243462858861940e-02, 1.001878913861354e+00, 1.191436907013332e-01, 2.724134908228549e-03
139, 6.089230652104620e-01, -4.404353001843556e-02, 1.001922669160354e+00, 1.219217982665409e-01, 2.736768568318916e-03
140, 5.899327756923080e-01, -4.561861289428874e-02, 1.001972052752596e+00, 1.250572569273042e-01, 2.749609991195303e-03
141, 5.707054231490321e-01, -4.715080946865579e-02, 1.002027481766508e+00, 1.285765509648955e-01, 2.762633180391581e-03
142, 5.512916003363530e-01, -4.863090808605761e-02, 1.002089430746191e+00, 1.325098100911319e-01, 2.775779366859127e-03
143, 5.317439474301470e-01, -5.004966851411126e-02, 1.002158431652778e+00, 1.368908095352478e-01, 2.788954047104066e-03
144, 5.121166001065770e-01, -5.139794887290158e-02, 1.002235076348351e+00, 1.417571277520437e-01, 2.802024640586479e-03
145, 4.924646039207970e-01, -5.266684144175821e-02, 1.002320013244733e+00, 1.471499336475259e-01, 2.814802298200315e-03
146, 4.728433082391680e-01, -5.384781416072871e-02, 1.002413935509299e+00, 1.531132377432083e-01, 2.827098384876609e-03
147, 4.533077537294870e-01, -5.493285287912920e-02, 1.002517578916568e+00, 1.596937557695745e-01, 2.838660563198894e-03
148, 4.339120676130220e-01, -5.591460064650605e-02, 1.002631714684397e+00, 1.669404538224695e-01, 2.849211617275902e-03
149, 4.147088805266780e-01, -5.678648875377961e-02, 1.002757129435481e+00, 1.749032760803799e-01, 2.858435436245733e-03
150, 3.957487779587870e-01, -5.754285488135374e-02, 1.002894620998763e+00, 1.836328782277231e-01, 2.866066101659009e-03
151, 3.770797978812900e-01, -5.817904262446177e-02, 1.003044979684864e+00, 1.931794385963977e-01, 2.871699756222332e-03
152, 3.587469844042950e-01, -5.869148183384367e-02, 1.003208972223261e+00, 2.035916383064165e-01, 2.875046341952721e-03
153, 3.407920053178110e-01, -5.907774237985596e-02, 1.003387334082610e+00, 2.149161736685281e-01, 2.875879452218095e-03
154, 3.232528390902350e-01, -5.933656107664884e-02, 1.003580744909289e+00, 2.271961967302056e-01, 2.873532071634918e-03
155, 3.061635345664540e-01, -5.946784792894075e-02, 1.003789824527507e+00, 2.404710613153110e-01, 2.868338659465318e-03
156, 2.895540445181870e-01, -5.947265120547269e-02, 1.004015120848725e+00, 2.547755553696890e-01, 2.859348492809291e-03
157, 2.734501317315010e-01, -5.935311774455410e-02, 1.004257087194012e+00, 2.701384611144038e-01, 2.846417743512049e-03
158, 2.578733448481230e-01, -5.911241796041434e-02, 1.004516088826864e+00, 2.865829698270829e-01, 2.829851791905825e-03
159, 2.428410589052540e-01, -5.875464540499853e-02, 1.004792389254240e+00, 3.041258120681177e-01, 2.808490275447090e-03
160, 2.283665749856950e-01, -5.828472232042683e-02, 1.005086143077863e+00, 3.227768037964687e-01, 2.782819767263434e-03
161, 2.144592713403360e-01, -5.770827281676661e-02, 1.005397397733961e+00, 3.425389568288661e-01, 2.752058561099608e-03
162, 2.011247989315330e-01, -5.703150512358030e-02, 1.005726083020539e+00, 3.634078139064318e-01, 2.716196595259002e-03
163, 1.883653126994450e-01, -5.626108209808330e-02, 1.006072017021522e+00, 3.853718248299516e-01, 2.674914487810529e-03
164, 1.761797307773510e-01, -5.540399685008031e-02, 1.006434898454060e+00, 4.084118605754076e-01, 2.627817978601983e-03
165, 1.645640139002550e-01, -5.446745448005801e-02, 1.006814303311297e+00, 4.325010001369834e-01, 2.574616237023378e-03
268, 5.022241269281980e-02, 3.543266689313175e-02, 9.566254377144678e-01, -2.754086005116249e+00, 9.588685820909319e-03
269, 5.493000569713665e-02, 3.679903989336144e-02, 9.583777553934871e-01, -2.642828006382139e+00, 9.180126868453507e-03
270, 5.997667081468780e-02, 3.816999333895075e-02, 9.600538834826263e-01, -2.536407430334524e+00, 8.800898066158105e-03
271, 6.538009589379461e-02, 3.954236389553951e-02, 9.616570774607583e-01, -2.434617580397399e+00, 8.447193141045679e-03
272, 7.115831019507564e-02, 4.091264364582575e-02, 9.631908476478334e-01, -2.337235579647677e+00, 8.116284077013465e-03
273, 7.732958126964475e-02, 4.227696117640378e-02, 9.646586984693626e-01, -2.244038925411466e+00, 7.806696186145924e-03
274, 8.391230598775640e-02, 4.363106518191866e-02, 9.660641975478531e-01, -2.154801102516814e+00, 7.516006603922178e-03
275, 9.092487458748623e-02, 4.497031464222394e-02, 9.674109385707530e-01, -2.069293940878847e+00, 7.242459122645968e-03
276, 9.838551560707631e-02, 4.628967359536866e-02, 9.687023899447988e-01, -1.987297224724518e+00, 6.984505649612819e-03
277, 1.063121233669820e-01, 4.758371320865407e-02, 9.699419120177687e-01, -1.908597599150598e+00, 6.740456191795243e-03
278, 1.147220644607960e-01, 4.884662296736836e-02, 9.711327768966153e-01, -1.832987311832514e+00, 6.509201964317196e-03
279, 1.236319622128720e-01, 5.007222893977906e-02, 9.722780697749438e-01, -1.760270477931382e+00, 6.289245916350634e-03
280, 1.330574640426540e-01, 5.125402534032247e-02, 9.733806925838537e-01, -1.690262848295095e+00, 6.079786937112207e-03
281, 1.430129884353940e-01, 5.238521407904258e-02, 9.744434235736246e-01, -1.622788026503194e+00, 5.879523123826105e-03
282, 1.535114573822800e-01, 5.345875993159088e-02, 9.754687934546339e-01, -1.557685332916735e+00, 5.687897062296012e-03
283, 1.645640139061220e-01, 5.446745448056218e-02, 9.764591685204349e-01, -1.494804527035206e+00, 5.503762197155063e-03
284, 1.761797307835840e-01, 5.540399685055070e-02, 9.774167188513709e-01, -1.434007826309827e+00, 5.326757380629134e-03
285, 1.883653127060570e-01, 5.626108209851536e-02, 9.783433829555094e-01, -1.375172151158229e+00, 5.156027011719709e-03
286, 2.011247989385280e-01, 5.703150512396883e-02, 9.792409538093159e-01, -1.318183662077605e+00, 4.990995908295500e-03
287, 2.144592713477200e-01, 5.770827281710689e-02, 9.801109636946174e-01, -1.262945071566032e+00, 4.831294732316185e-03
288, 2.283665749934740e-01, 5.828472232071416e-02, 9.809548160662466e-01, -1.209367271593688e+00, 4.676544773395873e-03
289, 2.428410589134270e-01, 5.875464540522825e-02, 9.817736785644341e-01, -1.157376126450562e+00, 4.526014572837977e-03
290, 2.578733448566950e-01, 5.911241796058234e-02, 9.825685933585344e-01, -1.106905466812387e+00, 4.380074974218635e-03
291, 2.734501317404630e-01, 5.935311774465631e-02, 9.833403981440910e-01, -1.057902105787978e+00, 4.237505053015030e-03
292, 2.895540445275380e-01, 5.947265120550563e-02, 9.840898304378730e-01, -1.010319217028012e+00, 4.099229598171807e-03
293, 3.061635345761830e-01, 5.946784792890163e-02, 9.848174536589387e-01, -9.641210279795848e-01, 3.964406205021055e-03
294, 3.232528391003260e-01, 5.933656107653527e-02, 9.855237756800058e-01, -9.192752928331237e-01, 3.832794121836748e-03
295, 3.407920053282550e-01, 5.907774237966616e-02, 9.862091615190332e-01, -8.757588359007504e-01, 3.705116657304929e-03
296, 3.587469844150750e-01, 5.869148183357661e-02, 9.868739425632702e-01, -8.335506167725949e-01, 3.580628059162634e-03
297, 3.770797978923800e-01, 5.817904262411734e-02, 9.875183958884535e-01, -7.926330433805602e-01, 3.459758451899253e-03
298, 3.957487779701630e-01, 5.754285488093251e-02, 9.881427530297209e-01, -7.529914151161929e-01, 3.342429324912881e-03
299, 4.147088805383200e-01, 5.678648875328256e-02, 9.887472677537283e-01, -7.146096198494725e-01, 3.228645026861850e-03
300, 4.339120676248920e-01, 5.591460064593561e-02, 9.893321747432358e-01, -6.774727571234122e-01, 3.118525523007051e-03
301, 4.533077537415610e-01, 5.493285287848778e-02, 9.898977425025269e-01, -6.415637790878272e-01, 3.012033089658085e-03
302, 4.728433082514070e-01, 5.384781416001998e-02, 9.904442871431131e-01, -6.068626152186726e-01, 2.909178170057103e-03
303, 4.924646039331600e-01, 5.266684144098649e-02, 9.909721540661081e-01, -5.733473353390420e-01, 2.809921408181921e-03
304, 5.121166001190330e-01, 5.139794887207108e-02, 9.914817465298215e-01, -5.409923358080959e-01, 2.714188630865417e-03
305, 5.317439474426470e-01, 5.004966851322778e-02, 9.919735333811238e-01, -5.097678486418924e-01, 2.621851077364577e-03
306, 5.512916003488870e-01, 4.863090808512447e-02, 9.924480294541310e-01, -4.796411860383850e-01, 2.532770990083401e-03
307, 5.707054231615170e-01, 4.715080946768199e-02, 9.929057959588730e-01, -4.505767157001068e-01, 2.446763523290854e-03
308, 5.899327757047460e-01, 4.561861289327686e-02, 9.933474480064388e-01, -4.225353830483132e-01, 2.363619714720463e-03
309, 6.089230652227910e-01, 4.404353001739358e-02, 9.937736374984049e-01, -3.954757976059141e-01, 2.283111785567899e-03
310, 6.276282526025000e-01, 4.243462858755100e-02, 9.941850387198753e-01, -3.693551477228488e-01, 2.204999439756943e-03
311, 6.460033026034030e-01, 4.080073056669482e-02, 9.945823401308206e-01, -3.441297217597036e-01, 2.129040852067122e-03
312, 6.640065698429310e-01, 3.915032464629472e-02, 9.949662283775628e-01, -3.197559232290714e-01, 2.054992330663846e-03
313, 6.816001145696030e-01, 3.749149362131417e-02, 9.953373840893831e-01, -2.961905376769635e-01, 1.982617166035917e-03
314, 6.987499446466160e-01, 3.583185629553873e-02, 9.956964652091379e-01, -2.733917910538733e-01, 1.911696582614528e-03
315, 7.154261825609159e-01, 3.417852304486385e-02, 9.960440962136162e-01, -2.513200341348696e-01, 1.842028258096350e-03
316, 7.316031585352730e-01, 3.253806414333830e-02, 9.963808586481774e-01, -2.299383434935529e-01, 1.773441607618370e-03
317, 7.472594328802760e-01, 3.091648930519984e-02, 9.967072668538894e-01, -2.092140626324252e-01, 1.705785419284655e-03
318, 7.623777524775640e-01, 2.931923744778128e-02, 9.970237767561825e-01, -1.891182439744977e-01, 1.638941031954026e-03
319, 7.769449477145119e-01, 2.775117492175853e-02, 9.973307925447018e-01, -1.696252247466417e-01, 1.572814676930080e-03
320, 7.909517772258660e-01, 2.621660130727932e-02, 9.976286438505581e-01, -1.507140760396029e-01, 1.507349822007547e-03
321, 8.043927284893690e-01, 2.471926132428823e-02, 9.979175846903138e-01, -1.323686698563094e-01, 1.442518995926782e-03
322, 8.172657826251279e-01, 2.326236201256679e-02, 9.981977979054483e-01, -1.145773972417669e-01, 1.378329367784145e-03
323, 8.295721517613170e-01, 2.184859408937147e-02, 9.984693971734295e-01, -9.733304059625515e-02, 1.314818850116700e-03
324, 8.413159970197970e-01, 2.048015683472137e-02, 9.987324293547378e-01, -8.063262465831462e-02, 1.252060716924319e-03
325, 8.525041346969320e-01, 1.915878563801130e-02, 9.989868834071266e-01, -6.447685052128513e-02, 1.190159871138661e-03
326, 8.631457375029460e-01, 1.788578165212381e-02, 9.992326979697301e-01, -4.886961410381346e-02, 1.129249460197825e-03
327, 8.732520369444300e-01, 1.666204293701322e-02, 9.994697734388950e-01, -3.381723943223380e-02, 1.069479123271071e-03
328, 8.828360320518041e-01, 1.548809659688852e-02, 9.996979928762741e-01, -1.932715114570767e-02, 1.010999064732239e-03
329, 8.919122087722000e-01, 1.436413140608066e-02, 9.999172517442995e-01, -5.405986534245333e-03, 9.539421648695316e-04
330, 9.004962734861121e-01, 1.329003047512407e-02, 1.000127480267196e+00, 7.941824204808403e-03, 8.984075680045804e-04
331, 9.086049032329651e-01, 1.226540359114749e-02, 1.000328655774385e+00, 2.071484167318316e-02, 8.444501505720668e-04
332, 9.162555145056280e-01, 1.128961885949327e-02, 1.000520802160092e+00, 3.291458296076322e-02, 7.920759643647608e-04
333, 9.234660517745920e-01, 1.036183331201132e-02, 1.000704027686249e+00, 4.454792182469829e-02, 7.412563557442423e-04
334, 9.302547962804840e-01, 9.481022246828921e-03, 1.000878510911640e+00, 5.562619530334485e-02, 6.919640301254801e-04
335, 9.366401951722300e-01, 8.646007048666101e-03, 1.001044466855636e+00, 6.616305538758574e-02, 6.442116956257718e-04
336, 9.426407105856069e-01, 7.855481326660181e-03, 1.001202096511935e+00, 7.617126355156921e-02, 5.980817830930689e-04
